text,label,text_clean
Sir please ab to kuch bta dain dae walo ka,neutral,Sir please ab to kuch bta dain dae walo ka
Bhai tu Ali bhai ka dost he hai na?? Tu sindh government ki chamcha geri aur bharwat chor de,anger,Bhai tu Ali bhai ka dost he hai na?? Tu sindh government ki chamcha geri aur bharwat chor de
Bhai Jaan Agr Ap bhura na maneh toh mere pass Ek Topic hn or meh ap seh Request Krungha k ap uspe Video Banae or Meh Ap ki Help b krugha Details Hasil krne meh.. Best Regard Bhai jaan Lov U Keep it up,neutral,Bhai Jaan Agr Ap bhura na maneh toh mere pass Ek Topic hn or meh ap seh Request Krungha k ap uspe Video Banae or Meh Ap ki Help b krugha Details Hasil krne meh.. Best Regard Bhai jaan Lov U Keep it up
Wah wah wah....ab sahi smjhe ho bhai. Ye saare calls operating calls hai jo sirf retail investors ko bewkuf bnane ke liye diye jaate hai.,neutral,Wah wah wah....ab sahi smjhe ho bhai. Ye saare calls operating calls hai jo sirf retail investors ko bewkuf bnane ke liye diye jaate hai.
Wow so original content<br />Lily Singh ki copy bilkul nhi lggti ye,happy,Wow so original contentLily Singh ki copy bilkul nhi lggti ye
Mein mereko sb ata hai mein expert houn,neutral,Mein mereko sb ata hai mein expert houn
#coronavirus teachers se darta hai.. Bolega master sahab sorry fail mat kijiyega.. Yahi dikkat hai system me..,happy,coronavirus teachers se darta hai.. Bolega master sahab sorry fail mat kijiyega.. Yahi dikkat hai system me..
Yr man K sath kabhi rape suna hai duniya main ? Aur men ko kabhi wrong allegation lgate Hue suna hai ? Jis k sath jo hota hai wo hi toh record main hoga..,neutral,Yr man K sath kabhi rape suna hai duniya main ? Aur men ko kabhi wrong allegation lgate Hue suna hai ? Jis k sath jo hota hai wo hi toh record main hoga..
"""Bas mint mein pohanch raha hun""",neutral,"""Bas mint mein pohanch raha hun"""
Kon yoyo ki video bar bar dekh raha hai,neutral,Kon yoyo ki video bar bar dekh raha hai
Koun koun wait kar raha tha ?,neutral,Koun koun wait kar raha tha ?
Ye bhi ek news hai baje ka official time de kar baje tickets kyu sale kari pucho irctc se,neutral,Ye bhi ek news hai baje ka official time de kar baje tickets kyu sale kari pucho irctc se
