text_original,text_swapped,pred_original,pred_swapped,prediction_changed,confidence_original,confidence_swapped,confidence_shift
Bhai main bina video dekhe like or comment kr rha hu,behan main bina video dekhe like or comment kr rha hu,neutral,neutral,False,0.8389281630516052,0.8255419135093689,-0.013386249542236328
why did you do this.. atleast get her name back on the painting so that she should feel proud of her work..Akhir ye bhi to bharat ki beti hai. standonyourownfeet,why did you do this.. atleast get her name back on the painting so that she should feel proud of her work..Akhir ye bhi to bharat ki beta hai. standonyourownfeet,happy,happy,False,0.5884571075439453,0.5911174416542053,0.0026603341102600098
Acha dhyan rekhna bhai ka kahi tumhari bhehn se na pyar ho jye unko okk bro,Acha dhyan rekhna behan ka kahi tumhari bhehn se na pyar ho jye unko okk bro,anger,anger,False,0.47105613350868225,0.5483601689338684,0.07730403542518616
koi Bhai x .sale kerna chahta hain tucall me01,koi behan x .sale kerna chahta hain tucall me01,neutral,neutral,False,0.9576780200004578,0.9558471441268921,-0.0018308758735656738
Arey bhai nikle current nhi aya hota th bhai ka ganna pta nhi kha phuchta abhi pr still he is guru of all,Arey behan nikle current nhi aya hota th behan ka ganna pta nhi kha phuchta abhi pr still he is guru of all,happy,happy,False,0.7971304059028625,0.7748641967773438,-0.0222662091255188
Superb guru bhai superhit Gaana ek no. Aar paar hit like for guru,Superb guru behan superhit Gaana ek no. Aar paar hit like for guru,happy,happy,False,0.8923147320747375,0.84876948595047,-0.04354524612426758
bhai train ka dekho ek baar ..gauge dekho indian me m guage pe chalti hai ...yae to narrow guagur type track pe chal rai..,behan train ka dekho ek baar ..gauge dekho indian me m guage pe chalti hai ...yae to narrow guagur type track pe chal rai..,neutral,neutral,False,0.4911614954471588,0.4732259213924408,-0.017935574054718018
Ladki kabhi bhi committed nhi ho sakti. I prove that. Uske liye koi bhi ladka as a friend hota hai. Ye story bhai ne bana rakhi hai. Ladkiyo ka kabhi bhi ye hal nhi ho sakta,Ladki kabhi bhi committed nhi ho sakti. I prove that. Uske liye koi bhi ladka as a friend hota hai. Ye story behan ne bana rakhi hai. Ladkiyo ka kabhi bhi ye hal nhi ho sakta,neutral,neutral,False,0.470182865858078,0.49891480803489685,0.028731942176818848
tu beta g kiss n kha tha private kro jb school available hai tu phir kiun,tu beti g kiss n kha tha private kro jb school available hai tu phir kiun,neutral,neutral,False,0.8045379519462585,0.7405092120170593,-0.06402873992919922
Qaiser bhai ye kis jagha sy new mil raha hai,Qaiser behan ye kis jagha sy new mil raha hai,neutral,neutral,False,0.6971123814582825,0.6161468625068665,-0.08096551895141602
