text,true_label,predicted_label,confidence,top_tokens
Esmae gana kaha tha??.. Mujhe to high auto tune or bits kae alaba kuch sunai nahi deya. .Bad song.,anger,sad,0.9708065390586853,"[('▁song', 0.5352166295051575), ('▁Mujh', 0.3912438452243805), ('.', 0.3336406350135803)]"
Kay do side hotey positive or negative mein ne apko positve side dikhai negative side ye hai kay unkay sathi b chor hain so disappointing but at least imran khan ko yahn appreciation deni hogi nawaz league ne model town report nai di thi ppp b hoti wo b na krti /,anger,sad,0.967627227306366,"[('appoint', 0.5291677117347717), ('▁negative', 0.4101441204547882), ('▁dis', 0.35696589946746826)]"
Le lo free ab free main maro,anger,neutral,0.9451132416725159,"[('▁free', 0.659736156463623), ('▁lo', 0.5005073547363281), ('▁Le', 0.2947927713394165)]"
blockbuster song yo yo sir Killer video Sabki Phad Ke Rakh Di Aapne love you Yo Yo Honey Singh,anger,happy,0.9240000247955322,"[('bu', 0.4009515047073364), ('▁yo', 0.39557358622550964), ('ster', 0.3763720989227295)]"
"Good for you brother... We love you tou aa is sabh sy doir e rahaiye, sy aetabar e uth gya hy, lanat bhe bhejni chaiye jo role play kia inno ny. r py kuch din ghussa rahay ga k in dheaton ko theek q nae kartay",anger,happy,0.9179601669311523,"[('▁love', 0.8542032241821289), ('▁We', 0.20819634199142456), ('▁you', 0.16319596767425537)]"
Yes. As thy found thousand of pashtons including idris khatak. Ths is the level of ur courage &amp; u know that they r atrocious but u cant speak out just becoz a vigo wil pick u up. Shame on u. &amp; v r not afraid of their vigos. Zindagi mot Allah k hath mai hai kernal general k nhi,fear,anger,0.9617323875427246,"[('e', 0.4173305034637451), ('.', 0.2249077707529068), ('cious', 0.18365612626075745)]"
i watched that movie the exorcism of emily rose ........ omg i swear main aik month tak darti rahi the .......plz kamzor dil na dhaykay yay movie,fear,surprise,0.9251618385314941,"[('g', 0.7433226108551025), ('▁swe', 0.41691067814826965), ('▁i', 0.27531394362449646)]"
sir meri bhi help krdo,fear,neutral,0.908714234828949,"[('▁bhi', 0.57990562915802), ('▁help', 0.4854629635810852), ('▁kr', 0.3995460271835327)]"
"LocalKoVocal Jo log desi sharaab pe switch karne wale hai, dhyaan rahe Cyberabad me ban hai.",fear,neutral,0.8965281844139099,"[('▁Local', 0.6379057168960571), ('▁dh', 0.2884466350078583), ('▁log', 0.2588757574558258)]"
"Please do something, coz of family entire society of family is suffering, abHI toh lockdown relaxation mila tha ,kam p jana start kiya tha , ab ye , what if , agar thore din baad koi or CASE nikale , HUM TOH DECEMBER TAK SOCIETY MEIN HI RAHJAYGE, cz they seal for days",fear,sad,0.868756115436554,"[('▁suffering', 0.4423859119415283), ('▁', 0.38814643025398254), ('▁is', 0.22687235474586487)]"
Haahahhaahha chipkali kasi to hai what a joke,happy,surprise,0.9535261392593384,"[('▁what', 0.6377171277999878), ('▁joke', 0.4330874979496002), ('▁hai', 0.15787585079669952)]"
plz frnds isko ache views dialo...... he nailed it... yr plzzzzz i lv dis man,happy,neutral,0.9461554884910583,"[('▁plz', 0.5137958526611328), ('▁views', 0.2856728732585907), ('▁plz', 0.26002252101898193)]"
Wow I'm from thatta city ye qabar mre gr se mnt ki duri pe hai har Sunday jati hu yha,happy,surprise,0.9444048404693604,"[('▁Wow', 0.974559485912323), ('▁that', 0.0952739268541336), ('▁I', 0.08012706786394119)]"
"Main to keh raha hoon subaha batao aur phir telecast hi na karo , what a surprise",happy,surprise,0.943467915058136,"[('▁surprise', 0.7778682708740234), ('▁a', 0.530529260635376), ('▁to', 0.23737980425357819)]"
Bro plz aap apna face review kare agle video me plz as a fan I request you plz plz plz if you accept the plz reply or heart like on my comment,happy,neutral,0.9296438694000244,"[('▁like', 0.6572191715240479), ('▁or', 0.26857268810272217), ('▁request', 0.2598317265510559)]"
Are kya bolu osm sad song,neutral,sad,0.9681769013404846,"[('▁song', 0.6841596364974976), ('▁sad', 0.4147675335407257), ('▁kya', 0.15085667371749878)]"
Yeh kitna cry karti hai. OMG!,neutral,surprise,0.9619606137275696,"[('▁OMG', 0.8586030602455139), ('▁!', 0.4286498427391052), ('▁Yeh', 0.1266699582338333)]"
g yh khan jnho uni di hy... but khan ko phir koe ata ptaa b krna chiya hmra mustkbl daoo py lga hiya khan ko yh kio nzr ni ata nojvan nsl sh umdn to un ko hy to yh kio ni smjhty k hmn b un sy umeedn hy hmra digres ka.msla hy,neutral,anger,0.9473551511764526,"[('▁khan', 0.70670485496521), ('▁ko', 0.10877170413732529), ('▁', 0.10402083396911621)]"
": Yaar ye Jo speech likhta hai, kaafi emotional aadmi hai ye P.S. Thoda setup kam rakho bhai... punchline zyada daalo..",neutral,sad,0.9456296563148499,"[('▁emotional', 0.8861503005027771), ('▁aad', 0.21903029084205627), ('▁speech', 0.1591562181711197)]"
"They mean if someone says that ""Man of X Religion caught spitting on cops"" is fake news, then action will be taken against them. Isko bolte hai reading between the lines.",neutral,anger,0.9312291145324707,"[('▁hai', 0.3331873118877411), ('▁bol', 0.2340759038925171), (',', 0.15818965435028076)]"
Aaj Mera Birthday hai koi toh like kar do,sad,neutral,0.9557766318321228,"[('▁like', 0.6803480386734009), ('▁Mera', 0.45216602087020874), ('▁koi', 0.29586881399154663)]"
Ye teri side wale log hamesha itne bhare pade hote hai? Random logo se lad kar Kitna ego ko pet karte hai? Shameful,sad,anger,0.9484645128250122,"[('▁Sham', 0.541351854801178), ('▁?', 0.2405136525630951), ('ful', 0.233315572142601)]"
"That is unfortunate truth about all my RW friends! I remember coming to Delhi as a student in ! With garv se kaho hum hindu hai, written as RW propaganda all around! My Sanghi mates were gaga about being Hindu and about being in love with Rashtra!",sad,anger,0.9352855682373047,"[('▁propaganda', 0.5520440340042114), ('hi', 0.32668212056159973), ('▁mate', 0.3169742524623871)]"
Honny yar ap ko kiya ho giya ma last days say ya song ka wait kr rha ho par mujy bhut afsos howa ya ap nahi koi or ha best of luck,sad,happy,0.9141820073127747,"[('▁best', 0.71587073802948), ('▁luck', 0.3981046974658966), ('▁of', 0.2137492597103119)]"
I love u harshal plzzz MRI life ma Avi ja ne,sad,happy,0.9082966446876526,"[('▁u', 0.45472708344459534), ('▁I', 0.4183725416660309), ('▁har', 0.249606654047966)]"
bani gala to kuch be nhi ise na pura pakistan ki hila de hn,surprise,anger,0.867108941078186,"[('▁de', 0.7085301876068115), ('n', 0.3000408411026001), ('▁nhi', 0.28279706835746765)]"
Who are that peoples who disliked the video....Kon hei ye log kha se aate hei ye log?????,surprise,anger,0.8517882823944092,"[('lik', 0.6816421747207642), ('▁dis', 0.603542149066925), ('▁', 0.13495783507823944)]"
"pehlay jab report nahi aati thi peechli hakomatoon main, aaaap nay kitni awaaz buland ki mansooor sb ?",surprise,anger,0.8471317887306213,"[('p', 0.42843902111053467), ('koma', 0.342171311378479), (',', 0.28320908546447754)]"
"Wah yrr koi add ni lagai ,,I am big fan",surprise,happy,0.8321872353553772,"[('▁Wah', 0.7416698336601257), ('▁I', 0.35736900568008423), ('i', 0.3564728796482086)]"
