text,token,attribution_score,true_label,predicted_label
Bhula dunga me Sana ke manager ne paisa lagaya hai he is the producer may be that's why she is promoting that song more,<s>,0.0,neutral,anger
Bhula dunga me Sana ke manager ne paisa lagaya hai he is the producer may be that's why she is promoting that song more,▁Bhu,0.48499011993408203,neutral,anger
Bhula dunga me Sana ke manager ne paisa lagaya hai he is the producer may be that's why she is promoting that song more,la,0.012294667772948742,neutral,anger
Bhula dunga me Sana ke manager ne paisa lagaya hai he is the producer may be that's why she is promoting that song more,▁dung,0.07265755534172058,neutral,anger
Bhula dunga me Sana ke manager ne paisa lagaya hai he is the producer may be that's why she is promoting that song more,a,-0.2599729299545288,neutral,anger
Bhula dunga me Sana ke manager ne paisa lagaya hai he is the producer may be that's why she is promoting that song more,▁me,0.21145494282245636,neutral,anger
Bhula dunga me Sana ke manager ne paisa lagaya hai he is the producer may be that's why she is promoting that song more,▁Sana,0.01620546169579029,neutral,anger
Bhula dunga me Sana ke manager ne paisa lagaya hai he is the producer may be that's why she is promoting that song more,▁ke,0.16712939739227295,neutral,anger
Bhula dunga me Sana ke manager ne paisa lagaya hai he is the producer may be that's why she is promoting that song more,▁manager,0.19391727447509766,neutral,anger
Bhula dunga me Sana ke manager ne paisa lagaya hai he is the producer may be that's why she is promoting that song more,▁ne,-0.09388088434934616,neutral,anger
Bhula dunga me Sana ke manager ne paisa lagaya hai he is the producer may be that's why she is promoting that song more,▁pais,0.11263721436262131,neutral,anger
Bhula dunga me Sana ke manager ne paisa lagaya hai he is the producer may be that's why she is promoting that song more,a,-0.13028669357299805,neutral,anger
Bhula dunga me Sana ke manager ne paisa lagaya hai he is the producer may be that's why she is promoting that song more,▁laga,-0.08366414904594421,neutral,anger
Bhula dunga me Sana ke manager ne paisa lagaya hai he is the producer may be that's why she is promoting that song more,ya,-0.19340874254703522,neutral,anger
Bhula dunga me Sana ke manager ne paisa lagaya hai he is the producer may be that's why she is promoting that song more,▁hai,-0.05421704798936844,neutral,anger
Bhula dunga me Sana ke manager ne paisa lagaya hai he is the producer may be that's why she is promoting that song more,▁he,0.1163656935095787,neutral,anger
Bhula dunga me Sana ke manager ne paisa lagaya hai he is the producer may be that's why she is promoting that song more,▁is,-0.054479796439409256,neutral,anger
Bhula dunga me Sana ke manager ne paisa lagaya hai he is the producer may be that's why she is promoting that song more,▁the,0.060154303908348083,neutral,anger
Bhula dunga me Sana ke manager ne paisa lagaya hai he is the producer may be that's why she is promoting that song more,▁producer,-0.10892467200756073,neutral,anger
Bhula dunga me Sana ke manager ne paisa lagaya hai he is the producer may be that's why she is promoting that song more,▁may,-0.11653584986925125,neutral,anger
Bhula dunga me Sana ke manager ne paisa lagaya hai he is the producer may be that's why she is promoting that song more,▁be,0.3254258334636688,neutral,anger
Bhula dunga me Sana ke manager ne paisa lagaya hai he is the producer may be that's why she is promoting that song more,▁that,0.19329801201820374,neutral,anger
Bhula dunga me Sana ke manager ne paisa lagaya hai he is the producer may be that's why she is promoting that song more,',-0.19101926684379578,neutral,anger
Bhula dunga me Sana ke manager ne paisa lagaya hai he is the producer may be that's why she is promoting that song more,s,-0.27207836508750916,neutral,anger
Bhula dunga me Sana ke manager ne paisa lagaya hai he is the producer may be that's why she is promoting that song more,▁why,-0.08054954558610916,neutral,anger
