text,true_label,predicted_label,confidence
Climax dekh kar toh aasu ni rukh tahe what a acting sargun,sad,surprise,0.963427
I dont believe bap apni he beti k sath asa nai kar sakta,anger,surprise,0.9632833
Oh my god ! Yeh kya tha such mein aisa huva hai,neutral,surprise,0.9616457
Tralier ka itna bura haal h to gaane ka kya hoga in hrs. + million views and in world trending .. Wow,neutral,surprise,0.96162283
omgggggg sir ap ki jitni b tareef karon kam hai..no words to explain.....genius,happy,surprise,0.9601966
Ohhh koi scene nhi paal poos ker barra kia yehi bht,neutral,surprise,0.95993686
: Boys tu beard sy chup lyty hain feeling sorry for girls,happy,sad,0.9583766
ye jo saza detey thay kia vo insaan he thay ya haiwan ...too horrible..new&grt info ...,surprise,sad,0.95447946
"i like this song par bhai tujhe use ase dhoka nahi dena chaiye ki woh paagal ho jaye. very sad story , unlucky girl",neutral,sad,0.953161
"Wow Delhi number gaadi me robbery osm.. ,song Delhi wale ke liye hoga.. like this diamond",neutral,surprise,0.94632715
keep in your mind agr chori hi karni customer se pehle decide kr lo kaise karni hai ..!! Send me the proof maine request cancellation k liye lockdown se pehle di thi ..!!,anger,neutral,0.94575065
Abdul! Godse RSS mei nahi tha tab! Gandhi ji ke marne ka fayada kise hue? Badnaam hue RSS! Sympathy mili congress ko! saal raaz congress ne isi jhut ke sahare kiya hei! Godse ki speech sun! Samajh jyega Gandhi ko kisne mara!,neutral,anger,0.9404732
"Indians ka to pakistani kabotar dekh kr mot nikal jata h, hmari foj dekh kr kya hota hoga inka",happy,anger,0.9396027
Beech beech me aisa bol do to log bhool jayenge ki tum BJP ke cheerleader ho,neutral,anger,0.9386043
"dekhna khin neeche se balochistan or sindh na sarak jaye.. kashmiris will never fight us in face of Chinese incursion. they are not coward like you.. or bete afghaniyon ko hathiyar Americans ne diye the.. tum kya doge, goli khreedne tak ki to aukat nhi hai tumhari...",neutral,anger,0.9367762
"Pakitan ki piyadye ka kam hai dhamki dena, keep reporting on, dhire sare sleeper cell india se khtam hoge, kutte ki maut mare jayenge.",neutral,anger,0.9358839
Charity bheek nai hoti. Or ek undeveloped country sy ap kia ecpect krty ho? K jo minister ay wo mulk ko salo main dubai bna dy? Bhai wkt lagta hy. Ek ghayr tarakiyafta mulk tb tk taraki nai krskta jb tk uska ghreeb apni soch na bdly,neutral,anger,0.9356894
Rightly said that Civil Service Exam is an open exam so does CAPF Exam and moreover if you people are so much interested in CAPF then why didn't you appeared in CAPF Exam...Ohhhhh i think CAPF ki trg and harshsips operations se dar lagta hai shayad...,fear,surprise,0.9352547
he is brutal! zaalim admy,sad,surprise,0.9347211
Sabko sirf honey singh ka rap hi sahi lga!!! True guys???,neutral,surprise,0.93411547
Bijli tk ka to bill nhi dete tm log or na he taxes pay krte ho or bat krne chle haq or such ki. What a joke.,neutral,anger,0.93130565
jab k tumari afghan qomiat nasal prasti bani israel racisim r israeliat pe base karti r tumhari afghan qoam pakistan r afghanistan k logon k liye alien nation hain q k tum apne apko israel jo k egypt k pas hai udar se jorte ho r abdali ko punjabi invaders b kehte,neutral,anger,0.9291591
"Bhoolo mat ,views competition me nd position me Shehnaazian aaye the..! Ye aaj faltu ka buzz creat kiya jaa raha, Kon kar raha uski bhi khabar hai. kyun nahin dekhenge Bhula Dunga, wo bhi sana ka song hai. BD, KGS, veham, sab dekhenge.. Bewajah ke topic highlight karenge.!",happy,anger,0.92890596
mota honey singhooooooooooo best of luck,neutral,happy,0.92330784
I Hate Love......... Es Duniya me koi pyar nhi hota h..... Esliye kbi kisi se pyar nhi krna cahiye.....,anger,sad,0.9227875
mehnat karny valon ki kabi har ni hoti wao keep it up bro,neutral,happy,0.9208451
Acha kam karne main laga de Ya Acha kam lagane main kr de hahah Well main subha se apki videos dakh rahi hon Very nice channel,neutral,happy,0.9202522
"Usman ko saza denay k liye apki hakomat nay kia kia hai, action lain na.. Usman ko aab kia uski biwi korya maray ya aonay ghar main jail bana lay ya khud katal kar day.. Bauhat suger quaoted batain kartay hain aap par apni hakoomat ki na ahlian nazar nahin atin.",neutral,anger,0.9201832
"Nice work,ap ki videos kafi maloomati hoti Hain,,,1 video riana magician par b bnaiye, shukriya.",neutral,happy,0.9191571
Documentary series dekhi hai ispe..What a Man,happy,surprise,0.91884106
I love u bhai sangla hill ke ak vidoe banya Plz,neutral,happy,0.9186709
Glti malik Riaz ki betio ki thi us ki beti ka bnda un actresses k sth tha us ki bivi ny chapa mar dya,neutral,anger,0.9184994
salaman saab abi Huawei honor c plus ka review bi nai hai YouTube pe ap kese khe sakte hain k set Pakistan me nai ahega... please apni taraf se joot mat bola karen marne k baad allah pak ko kiya jawab doge ?,anger,neutral,0.91849494
thanks bro yaar wo end wale ka bhaut bhaut afsoos hai lekin bri apki video nice nice nice hai,sad,happy,0.9183756
Moje apne dara hi dia ab moje neend nai ai gi your big fan keep making your videos.love you bro,neutral,happy,0.91782725
Meri Audi R8 mein aaj yhi baj rha aur bjega Puri Raat aur bomb wali party hogi,happy,neutral,0.91765565
Sir nice information ap ny is video ko bnany k lye bht mehnat ki hogi Allah ap ko kamyaaab kry ap aesy e videos banaty rhooo,neutral,happy,0.91733795
ASSALAM O ALAIKUM DR SAHAB. MAY ALLAH BLESS YOU BOTH.,neutral,happy,0.916793
Isa khata hai CM God bless you sir,neutral,happy,0.9164836
Aapak gaana hit n ho aisa nhi ho skta..... Ur style is superb,neutral,happy,0.91646534
Guru Randhawa Aapke ke song dil par lagte hai Nyc song Love you song,neutral,happy,0.9160993
% personal pure great real hai mere bhai,neutral,happy,0.9157859
bhi plz is video ka part bhee bana na plzby the way love your videos,neutral,happy,0.9147856
